date,first,second,immunity,ivvfirstEstimate,ivvsecondEstimate,ivvimmunityEstimate,vfirstEstimate,vsecondEstimate,vimmunityEstimate,vvfirstestimate,vvsecondEstimate,vvimmunityEstimate,vifirstEstimate,visecondEstimate,viimmunityEstimate,vivfirstEstimate,vivsecondEstimate,vivimmunityEstimate,viifirstEstimate,viisecondEstimate,viiimmunityEstimate,viivfirstEstimate,viivsecondEstimate,viivimmunityEstimate,viiifirstEstimate,viiisecondEstimate,viiiimmunityEstimate,gonetofour,gfivetonine,galladults
13/12/2020,86215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14600000,31800000,52800000
14/12/2020,170155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14600000,31800000,52800000
15/12/2020,254096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14600000,31800000,52800000
16/12/2020,338036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14600000,31800000,52800000
17/12/2020,421977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14600000,31800000,52800000
18/12/2020,505917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14600000,31800000,52800000
19/12/2020,589858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14600000,31800000,52800000
20/12/2020,673798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14600000,31800000,52800000
21/12/2020,720817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14600000,31800000,52800000
22/12/2020,767836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14600000,31800000,52800000
23/12/2020,814855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14600000,31800000,52800000
24/12/2020,861873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14600000,31800000,52800000
25/12/2020,908892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14600000,31800000,52800000
26/12/2020,955911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14600000,31800000,52800000
27/12/2020,1002930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14600000,31800000,52800000
28/12/2020,1056368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14600000,31800000,52800000
29/12/2020,1109805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14600000,31800000,52800000
30/12/2020,1163243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14600000,31800000,52800000
31/12/2020,1216681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14600000,31800000,52800000
01/01/2021,1270119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14600000,31800000,52800000
02/01/2021,1323556,0,77594,0,0,77594,0,0,77594,0,0,77594,0,0,77594,0,0,77594,0,0,77594,0,0,77594,0,0,77594,14600000,31800000,52800000
03/01/2021,1376994,21905,153140,0,0,153140,0,0,153140,0,0,153140,0,0,153140,0,0,153140,0,0,153140,0,0,153140,0,0,153140,14600000,31800000,52800000
04/01/2021,1508826,70688,228686,0,0,228686,0,0,228686,0,0,228686,0,0,228686,0,0,228686,0,0,228686,0,0,228686,0,0,228686,14600000,31800000,52800000
05/01/2021,1640658,119471,304233,0,0,304233,0,0,304233,0,0,304233,0,0,304233,0,0,304233,0,0,304233,0,0,304233,0,0,304233,14600000,31800000,52800000
06/01/2021,1772489,168253,379779,0,0,379779,0,0,379779,0,0,379779,0,0,379779,0,0,379779,0,0,379779,0,0,379779,0,0,379779,14600000,31800000,52800000
07/01/2021,1904321,217036,455325,0,0,455325,0,0,455325,0,0,455325,0,0,455325,0,0,455325,0,0,455325,0,0,455325,0,0,455325,14600000,31800000,52800000
08/01/2021,2036153,265819,530872,0,0,530872,0,0,530872,0,0,530872,0,0,530872,0,0,530872,0,0,530872,0,0,530872,0,0,530872,14600000,31800000,52800000
09/01/2021,2167985,314602,606418,0,0,606418,0,0,606418,0,0,606418,0,0,606418,0,0,606418,0,0,606418,0,0,606418,0,0,606418,14600000,31800000,52800000
10/01/2021,2299816,363384,648735,0,0,648735,0,0,648735,0,0,648735,0,0,648735,0,0,648735,0,0,648735,0,0,648735,0,0,648735,14600000,31800000,52800000
11/01/2021,2431648,412167,691052,2431648,412167,691052,2431648,412167,691052,2431648,412167,691052,2431648,412167,691052,2431648,0,691052,2431648,412167,691052,2431648,412167,691052,2431648,412167,691052,14600000,31800000,52800000
12/01/2021,2639309,428232,733369,2639309,428232,733369,2639309,428232,733369,2639309,428232,733369,2639309,428232,733369,2639309,428232,733369,2639309,428232,733369,2639309,428232,733369,2639309,428232,733369,14600000,31800000,52800000
13/01/2021,2918252,437977,775686,2918252,437977,775686,2918252,437977,775686,2918252,437977,775686,2918252,437977,775686,2918252,437977,775686,2918252,437977,775686,2918252,437977,775686,2918252,437977,775686,14600000,31800000,52800000
14/01/2021,3234946,443234,818003,3234946,443234,818003,3234946,443234,818003,3234946,443234,818003,3234946,443234,818003,3234946,443234,818003,3234946,443234,818003,3234946,443234,818003,3234946,443234,818003,14600000,31800000,52800000
15/01/2021,3559179,447261,860320,3559179,447261,860320,3559179,447261,860320,3559179,447261,860320,3559179,447261,860320,3559179,447261,860320,3559179,447261,860320,3559179,447261,860320,3559179,447261,860320,14600000,31800000,52800000
16/01/2021,3837094,449736,902637,3837094,449736,902637,3837094,449736,902637,3837094,449736,902637,3837094,449736,902637,3837094,449736,902637,3837094,449736,902637,3837094,449736,902637,3837094,449736,902637,14600000,31800000,52800000
17/01/2021,4062501,452301,950731,4062501,452301,950731,4062501,452301,950731,4062501,452301,950731,4062501,452301,950731,4062501,452301,950731,4062501,452301,950731,4062501,452301,950731,4062501,452301,950731,14600000,31800000,52800000
18/01/2021,4266577,456866,998825,4266577,456866,998825,4266577,456866,998825,4266577,456866,998825,4266577,456866,998825,4266577,456866,998825,4266577,456866,998825,4266577,456866,998825,4266577,456866,998825,14600000,31800000,52800000
19/01/2021,4609740,460625,1046919,4609740,460625,1046919,4609740,460625,1046919,4609740,460625,1046919,4609740,460625,1046919,4609740,460625,1046919,4609740,460625,1046919,4609740,460625,1046919,4609740,460625,1046919,14600000,31800000,52800000
20/01/2021,4973248,464036,1095013,4973248,464036,1095013,4973248,464036,1095013,4973248,464036,1095013,4973248,464036,1095013,4973248,464036,1095013,4973248,464036,1095013,4973248,464036,1095013,4973248,464036,1095013,14600000,31800000,52800000
21/01/2021,5383103,466796,1143107,5383103,466796,1143107,5383103,466796,1143107,5383103,466796,1143107,5383103,466796,1143107,5383103,466796,1143107,5383103,466796,1143107,5383103,466796,1143107,5383103,466796,1143107,14600000,31800000,52800000
22/01/2021,5861351,468617,1191201,5861351,468617,1191201,5861351,468617,1191201,5861351,468617,1191201,5861351,468617,1191201,5861351,468617,1191201,5861351,468617,1191201,5861351,468617,1191201,5861351,468617,1191201,14600000,31800000,52800000
23/01/2021,6353321,469660,1240390,6353321,469660,1240390,6353321,469660,1240390,6353321,469660,1240390,6353321,469660,1240390,6353321,469660,1240390,6353321,469660,1240390,6353321,469660,1240390,6353321,469660,1240390,14600000,31800000,52800000
24/01/2021,6573570,470478,1361478,6573570,470478,1361478,6573570,470478,1361478,6573570,470478,1361478,6573570,470478,1361478,6573570,470478,1361478,6573570,470478,1361478,6573570,470478,1361478,6573570,470478,1361478,14600000,31800000,52800000
25/01/2021,6853372,472446,1482565,6853372,472446,1482565,6853372,472446,1482565,6853372,472446,1482565,6853372,472446,1482565,6853372,472446,1482565,6853372,472446,1482565,6853372,472446,1482565,6853372,472446,1482565,14600000,31800000,52800000
